YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Age(years),GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AL,Alabama,16.3,18 - 24,"(32.84057112200048, -86.63186076199969)",18 - 24,AGEYR,AGEYR1824
2011,2011,AL,Alabama,35.2,25 - 34,"(32.84057112200048, -86.63186076199969)",25 - 34,AGEYR,AGEYR2534
2011,2011,AL,Alabama,35.5,35 - 44,"(32.84057112200048, -86.63186076199969)",35 - 44,AGEYR,AGEYR3544
2011,2011,AL,Alabama,38,45 - 54,"(32.84057112200048, -86.63186076199969)",45 - 54,AGEYR,AGEYR4554
2011,2011,AL,Alabama,36.4,55 - 64,"(32.84057112200048, -86.63186076199969)",55 - 64,AGEYR,AGEYR5564
2011,2011,AL,Alabama,27.1,65 or older,"(32.84057112200048, -86.63186076199969)",65 or older,AGEYR,AGEYR65PLUS
2012,2012,AL,Alabama,23.9,18 - 24,"(32.84057112200048, -86.63186076199969)",18 - 24,AGEYR,AGEYR1824
2012,2012,AL,Alabama,31.3,25 - 34,"(32.84057112200048, -86.63186076199969)",25 - 34,AGEYR,AGEYR2534
2012,2012,AL,Alabama,34.1,35 - 44,"(32.84057112200048, -86.63186076199969)",35 - 44,AGEYR,AGEYR3544
2012,2012,AL,Alabama,39.7,45 - 54,"(32.84057112200048, -86.63186076199969)",45 - 54,AGEYR,AGEYR4554
2012,2012,AL,Alabama,40.3,55 - 64,"(32.84057112200048, -86.63186076199969)",55 - 64,AGEYR,AGEYR5564
2012,2012,AL,Alabama,26.9,65 or older,"(32.84057112200048, -86.63186076199969)",65 or older,AGEYR,AGEYR65PLUS
2013,2013,AL,Alabama,19,18 - 24,"(32.84057112200048, -86.63186076199969)",18 - 24,AGEYR,AGEYR1824
2013,2013,AL,Alabama,30.4,25 - 34,"(32.84057112200048, -86.63186076199969)",25 - 34,AGEYR,AGEYR2534
2013,2013,AL,Alabama,36.7,35 - 44,"(32.84057112200048, -86.63186076199969)",35 - 44,AGEYR,AGEYR3544
2013,2013,AL,Alabama,40,45 - 54,"(32.84057112200048, -86.63186076199969)",45 - 54,AGEYR,AGEYR4554
2013,2013,AL,Alabama,37.1,55 - 64,"(32.84057112200048, -86.63186076199969)",55 - 64,AGEYR,AGEYR5564
2013,2013,AL,Alabama,28.4,65 or older,"(32.84057112200048, -86.63186076199969)",65 or older,AGEYR,AGEYR65PLUS
2014,2014,AL,Alabama,20.4,18 - 24,"(32.84057112200048, -86.63186076199969)",18 - 24,AGEYR,AGEYR1824
2014,2014,AL,Alabama,31.7,25 - 34,"(32.84057112200048, -86.63186076199969)",25 - 34,AGEYR,AGEYR2534
2014,2014,AL,Alabama,40.9,35 - 44,"(32.84057112200048, -86.63186076199969)",35 - 44,AGEYR,AGEYR3544
2014,2014,AL,Alabama,39.9,45 - 54,"(32.84057112200048, -86.63186076199969)",45 - 54,AGEYR,AGEYR4554
2014,2014,AL,Alabama,37.4,55 - 64,"(32.84057112200048, -86.63186076199969)",55 - 64,AGEYR,AGEYR5564
2014,2014,AL,Alabama,28.9,65 or older,"(32.84057112200048, -86.63186076199969)",65 or older,AGEYR,AGEYR65PLUS
2015,2015,AL,Alabama,41.1,35 - 44,"(32.84057112200048, -86.63186076199969)",35 - 44,AGEYR,AGEYR3544
2015,2015,AL,Alabama,25.1,18 - 24,"(32.84057112200048, -86.63186076199969)",18 - 24,AGEYR,AGEYR1824
2015,2015,AL,Alabama,30.2,65 or older,"(32.84057112200048, -86.63186076199969)",65 or older,AGEYR,AGEYR65PLUS
2015,2015,AL,Alabama,35.2,25 - 34,"(32.84057112200048, -86.63186076199969)",25 - 34,AGEYR,AGEYR2534
2015,2015,AL,Alabama,40.3,55 - 64,"(32.84057112200048, -86.63186076199969)",55 - 64,AGEYR,AGEYR5564
2015,2015,AL,Alabama,40.6,45 - 54,"(32.84057112200048, -86.63186076199969)",45 - 54,AGEYR,AGEYR4554
2011,2011,AK,Alaska,19.8,18 - 24,"(64.84507995700051, -147.72205903599973)",18 - 24,AGEYR,AGEYR1824
2011,2011,AK,Alaska,23.5,25 - 34,"(64.84507995700051, -147.72205903599973)",25 - 34,AGEYR,AGEYR2534
2011,2011,AK,Alaska,29.5,35 - 44,"(64.84507995700051, -147.72205903599973)",35 - 44,AGEYR,AGEYR3544
2011,2011,AK,Alaska,29.2,45 - 54,"(64.84507995700051, -147.72205903599973)",45 - 54,AGEYR,AGEYR4554
2011,2011,AK,Alaska,33.4,55 - 64,"(64.84507995700051, -147.72205903599973)",55 - 64,AGEYR,AGEYR5564
2011,2011,AK,Alaska,29.3,65 or older,"(64.84507995700051, -147.72205903599973)",65 or older,AGEYR,AGEYR65PLUS
2012,2012,AK,Alaska,30.3,35 - 44,"(64.84507995700051, -147.72205903599973)",35 - 44,AGEYR,AGEYR3544
2012,2012,AK,Alaska,32.6,45 - 54,"(64.84507995700051, -147.72205903599973)",45 - 54,AGEYR,AGEYR4554
2012,2012,AK,Alaska,32.3,55 - 64,"(64.84507995700051, -147.72205903599973)",55 - 64,AGEYR,AGEYR5564
2012,2012,AK,Alaska,20.1,25 - 34,"(64.84507995700051, -147.72205903599973)",25 - 34,AGEYR,AGEYR2534
2012,2012,AK,Alaska,9,18 - 24,"(64.84507995700051, -147.72205903599973)",18 - 24,AGEYR,AGEYR1824
2012,2012,AK,Alaska,26.8,65 or older,"(64.84507995700051, -147.72205903599973)",65 or older,AGEYR,AGEYR65PLUS
2013,2013,AK,Alaska,12.6,18 - 24,"(64.84507995700051, -147.72205903599973)",18 - 24,AGEYR,AGEYR1824
2013,2013,AK,Alaska,28.1,25 - 34,"(64.84507995700051, -147.72205903599973)",25 - 34,AGEYR,AGEYR2534
2013,2013,AK,Alaska,33.5,35 - 44,"(64.84507995700051, -147.72205903599973)",35 - 44,AGEYR,AGEYR3544
2013,2013,AK,Alaska,29.8,45 - 54,"(64.84507995700051, -147.72205903599973)",45 - 54,AGEYR,AGEYR4554
2013,2013,AK,Alaska,33.1,55 - 64,"(64.84507995700051, -147.72205903599973)",55 - 64,AGEYR,AGEYR5564
2013,2013,AK,Alaska,30.4,65 or older,"(64.84507995700051, -147.72205903599973)",65 or older,AGEYR,AGEYR65PLUS
2014,2014,AK,Alaska,14,18 - 24,"(64.84507995700051, -147.72205903599973)",18 - 24,AGEYR,AGEYR1824
2014,2014,AK,Alaska,28,25 - 34,"(64.84507995700051, -147.72205903599973)",25 - 34,AGEYR,AGEYR2534
2014,2014,AK,Alaska,33.6,35 - 44,"(64.84507995700051, -147.72205903599973)",35 - 44,AGEYR,AGEYR3544
2014,2014,AK,Alaska,35.2,45 - 54,"(64.84507995700051, -147.72205903599973)",45 - 54,AGEYR,AGEYR4554
2014,2014,AK,Alaska,34.5,55 - 64,"(64.84507995700051, -147.72205903599973)",55 - 64,AGEYR,AGEYR5564
2014,2014,AK,Alaska,29.6,65 or older,"(64.84507995700051, -147.72205903599973)",65 or older,AGEYR,AGEYR65PLUS
2015,2015,AK,Alaska,33.1,35 - 44,"(64.84507995700051, -147.72205903599973)",35 - 44,AGEYR,AGEYR3544
2015,2015,AK,Alaska,19.2,18 - 24,"(64.84507995700051, -147.72205903599973)",18 - 24,AGEYR,AGEYR1824
2015,2015,AK,Alaska,29.8,25 - 34,"(64.84507995700051, -147.72205903599973)",25 - 34,AGEYR,AGEYR2534
2015,2015,AK,Alaska,30.6,55 - 64,"(64.84507995700051, -147.72205903599973)",55 - 64,AGEYR,AGEYR5564
2015,2015,AK,Alaska,30.8,45 - 54,"(64.84507995700051, -147.72205903599973)",45 - 54,AGEYR,AGEYR4554
2015,2015,AK,Alaska,34.7,65 or older,"(64.84507995700051, -147.72205903599973)",65 or older,AGEYR,AGEYR65PLUS
2011,2011,AZ,Arizona,18.7,18 - 24,"(34.865970280000454, -111.76381127699972)",18 - 24,AGEYR,AGEYR1824
2011,2011,AZ,Arizona,23.6,25 - 34,"(34.865970280000454, -111.76381127699972)",25 - 34,AGEYR,AGEYR2534
2011,2011,AZ,Arizona,25.4,35 - 44,"(34.865970280000454, -111.76381127699972)",35 - 44,AGEYR,AGEYR3544
2011,2011,AZ,Arizona,29.6,45 - 54,"(34.865970280000454, -111.76381127699972)",45 - 54,AGEYR,AGEYR4554
2011,2011,AZ,Arizona,29.9,55 - 64,"(34.865970280000454, -111.76381127699972)",55 - 64,AGEYR,AGEYR5564
2011,2011,AZ,Arizona,22.6,65 or older,"(34.865970280000454, -111.76381127699972)",65 or older,AGEYR,AGEYR65PLUS
2012,2012,AZ,Arizona,16.2,18 - 24,"(34.865970280000454, -111.76381127699972)",18 - 24,AGEYR,AGEYR1824
2012,2012,AZ,Arizona,29.2,25 - 34,"(34.865970280000454, -111.76381127699972)",25 - 34,AGEYR,AGEYR2534
2012,2012,AZ,Arizona,30.4,35 - 44,"(34.865970280000454, -111.76381127699972)",35 - 44,AGEYR,AGEYR3544
2012,2012,AZ,Arizona,27.6,45 - 54,"(34.865970280000454, -111.76381127699972)",45 - 54,AGEYR,AGEYR4554
2012,2012,AZ,Arizona,30.3,55 - 64,"(34.865970280000454, -111.76381127699972)",55 - 64,AGEYR,AGEYR5564
2012,2012,AZ,Arizona,22.6,65 or older,"(34.865970280000454, -111.76381127699972)",65 or older,AGEYR,AGEYR65PLUS
2013,2013,AZ,Arizona,13.4,18 - 24,"(34.865970280000454, -111.76381127699972)",18 - 24,AGEYR,AGEYR1824
2013,2013,AZ,Arizona,29.6,25 - 34,"(34.865970280000454, -111.76381127699972)",25 - 34,AGEYR,AGEYR2534
2013,2013,AZ,Arizona,27.6,35 - 44,"(34.865970280000454, -111.76381127699972)",35 - 44,AGEYR,AGEYR3544
2013,2013,AZ,Arizona,34.6,45 - 54,"(34.865970280000454, -111.76381127699972)",45 - 54,AGEYR,AGEYR4554
2013,2013,AZ,Arizona,30.4,55 - 64,"(34.865970280000454, -111.76381127699972)",55 - 64,AGEYR,AGEYR5564
2013,2013,AZ,Arizona,23.2,65 or older,"(34.865970280000454, -111.76381127699972)",65 or older,AGEYR,AGEYR65PLUS
2014,2014,AZ,Arizona,16.6,18 - 24,"(34.865970280000454, -111.76381127699972)",18 - 24,AGEYR,AGEYR1824
2014,2014,AZ,Arizona,29.1,25 - 34,"(34.865970280000454, -111.76381127699972)",25 - 34,AGEYR,AGEYR2534
2014,2014,AZ,Arizona,33.3,35 - 44,"(34.865970280000454, -111.76381127699972)",35 - 44,AGEYR,AGEYR3544
2014,2014,AZ,Arizona,34.9,45 - 54,"(34.865970280000454, -111.76381127699972)",45 - 54,AGEYR,AGEYR4554
2014,2014,AZ,Arizona,33.5,55 - 64,"(34.865970280000454, -111.76381127699972)",55 - 64,AGEYR,AGEYR5564
2014,2014,AZ,Arizona,24.7,65 or older,"(34.865970280000454, -111.76381127699972)",65 or older,AGEYR,AGEYR65PLUS
2015,2015,AZ,Arizona,33.4,35 - 44,"(34.865970280000454, -111.76381127699972)",35 - 44,AGEYR,AGEYR3544
2015,2015,AZ,Arizona,33.4,55 - 64,"(34.865970280000454, -111.76381127699972)",55 - 64,AGEYR,AGEYR5564
2015,2015,AZ,Arizona,17.5,18 - 24,"(34.865970280000454, -111.76381127699972)",18 - 24,AGEYR,AGEYR1824
2015,2015,AZ,Arizona,24.2,65 or older,"(34.865970280000454, -111.76381127699972)",65 or older,AGEYR,AGEYR65PLUS
2015,2015,AZ,Arizona,29.5,25 - 34,"(34.865970280000454, -111.76381127699972)",25 - 34,AGEYR,AGEYR2534
2015,2015,AZ,Arizona,32.1,45 - 54,"(34.865970280000454, -111.76381127699972)",45 - 54,AGEYR,AGEYR4554
2011,2011,AR,Arkansas,36.9,55 - 64,"(34.74865012400045, -92.27449074299966)",55 - 64,AGEYR,AGEYR5564
2011,2011,AR,Arkansas,23,18 - 24,"(34.74865012400045, -92.27449074299966)",18 - 24,AGEYR,AGEYR1824
2011,2011,AR,Arkansas,29.3,25 - 34,"(34.74865012400045, -92.27449074299966)",25 - 34,AGEYR,AGEYR2534
2011,2011,AR,Arkansas,32.9,35 - 44,"(34.74865012400045, -92.27449074299966)",35 - 44,AGEYR,AGEYR3544
2011,2011,AR,Arkansas,36.4,45 - 54,"(34.74865012400045, -92.27449074299966)",45 - 54,AGEYR,AGEYR4554
2011,2011,AR,Arkansas,26.1,65 or older,"(34.74865012400045, -92.27449074299966)",65 or older,AGEYR,AGEYR65PLUS
2012,2012,AR,Arkansas,37.2,55 - 64,"(34.74865012400045, -92.27449074299966)",55 - 64,AGEYR,AGEYR5564
2012,2012,AR,Arkansas,27.1,18 - 24,"(34.74865012400045, -92.27449074299966)",18 - 24,AGEYR,AGEYR1824
2012,2012,AR,Arkansas,33.7,25 - 34,"(34.74865012400045, -92.27449074299966)",25 - 34,AGEYR,AGEYR2534
2012,2012,AR,Arkansas,43.4,35 - 44,"(34.74865012400045, -92.27449074299966)",35 - 44,AGEYR,AGEYR3544
2012,2012,AR,Arkansas,40.4,45 - 54,"(34.74865012400045, -92.27449074299966)",45 - 54,AGEYR,AGEYR4554
2012,2012,AR,Arkansas,25.9,65 or older,"(34.74865012400045, -92.27449074299966)",65 or older,AGEYR,AGEYR65PLUS
2013,2013,AR,Arkansas,29.6,18 - 24,"(34.74865012400045, -92.27449074299966)",18 - 24,AGEYR,AGEYR1824
2013,2013,AR,Arkansas,34.2,25 - 34,"(34.74865012400045, -92.27449074299966)",25 - 34,AGEYR,AGEYR2534
2013,2013,AR,Arkansas,42.1,35 - 44,"(34.74865012400045, -92.27449074299966)",35 - 44,AGEYR,AGEYR3544
