YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Education,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AL,Alabama,33.8,Some college or technical school,"(32.84057112200048, -86.63186076199969)",Some college or technical school,EDU,EDUCOTEC
2011,2011,AL,Alabama,33.6,Less than high school,"(32.84057112200048, -86.63186076199969)",Less than high school,EDU,EDUHS
2011,2011,AL,Alabama,32.8,High school graduate,"(32.84057112200048, -86.63186076199969)",High school graduate,EDU,EDUHSGRAD
2011,2011,AL,Alabama,26.4,College graduate,"(32.84057112200048, -86.63186076199969)",College graduate,EDU,EDUCOGRAD
2012,2012,AL,Alabama,34.4,Some college or technical school,"(32.84057112200048, -86.63186076199969)",Some college or technical school,EDU,EDUCOTEC
2012,2012,AL,Alabama,35.2,Less than high school,"(32.84057112200048, -86.63186076199969)",Less than high school,EDU,EDUHS
2012,2012,AL,Alabama,33.5,High school graduate,"(32.84057112200048, -86.63186076199969)",High school graduate,EDU,EDUHSGRAD
2012,2012,AL,Alabama,27.8,College graduate,"(32.84057112200048, -86.63186076199969)",College graduate,EDU,EDUCOGRAD
2013,2013,AL,Alabama,35.2,Some college or technical school,"(32.84057112200048, -86.63186076199969)",Some college or technical school,EDU,EDUCOTEC
2013,2013,AL,Alabama,33.8,Less than high school,"(32.84057112200048, -86.63186076199969)",Less than high school,EDU,EDUHS
2013,2013,AL,Alabama,32.1,High school graduate,"(32.84057112200048, -86.63186076199969)",High school graduate,EDU,EDUHSGRAD
2013,2013,AL,Alabama,27.6,College graduate,"(32.84057112200048, -86.63186076199969)",College graduate,EDU,EDUCOGRAD
2014,2014,AL,Alabama,34.4,Some college or technical school,"(32.84057112200048, -86.63186076199969)",Some college or technical school,EDU,EDUCOTEC
2014,2014,AL,Alabama,34.8,Less than high school,"(32.84057112200048, -86.63186076199969)",Less than high school,EDU,EDUHS
2014,2014,AL,Alabama,35.4,High school graduate,"(32.84057112200048, -86.63186076199969)",High school graduate,EDU,EDUHSGRAD
2014,2014,AL,Alabama,28.1,College graduate,"(32.84057112200048, -86.63186076199969)",College graduate,EDU,EDUCOGRAD
2015,2015,AL,Alabama,36.5,Some college or technical school,"(32.84057112200048, -86.63186076199969)",Some college or technical school,EDU,EDUCOTEC
2015,2015,AL,Alabama,38.4,Less than high school,"(32.84057112200048, -86.63186076199969)",Less than high school,EDU,EDUHS
2015,2015,AL,Alabama,37.6,High school graduate,"(32.84057112200048, -86.63186076199969)",High school graduate,EDU,EDUHSGRAD
2015,2015,AL,Alabama,29.1,College graduate,"(32.84057112200048, -86.63186076199969)",College graduate,EDU,EDUCOGRAD
2011,2011,AK,Alaska,25.8,Some college or technical school,"(64.84507995700051, -147.72205903599973)",Some college or technical school,EDU,EDUCOTEC
2011,2011,AK,Alaska,28.8,Less than high school,"(64.84507995700051, -147.72205903599973)",Less than high school,EDU,EDUHS
2011,2011,AK,Alaska,33.1,High school graduate,"(64.84507995700051, -147.72205903599973)",High school graduate,EDU,EDUHSGRAD
2011,2011,AK,Alaska,22.1,College graduate,"(64.84507995700051, -147.72205903599973)",College graduate,EDU,EDUCOGRAD
2012,2012,AK,Alaska,26.9,Some college or technical school,"(64.84507995700051, -147.72205903599973)",Some college or technical school,EDU,EDUCOTEC
2012,2012,AK,Alaska,23.3,Less than high school,"(64.84507995700051, -147.72205903599973)",Less than high school,EDU,EDUHS
2012,2012,AK,Alaska,25.8,High school graduate,"(64.84507995700051, -147.72205903599973)",High school graduate,EDU,EDUHSGRAD
2012,2012,AK,Alaska,24.9,College graduate,"(64.84507995700051, -147.72205903599973)",College graduate,EDU,EDUCOGRAD
2013,2013,AK,Alaska,29.6,Some college or technical school,"(64.84507995700051, -147.72205903599973)",Some college or technical school,EDU,EDUCOTEC
2013,2013,AK,Alaska,28.2,Less than high school,"(64.84507995700051, -147.72205903599973)",Less than high school,EDU,EDUHS
2013,2013,AK,Alaska,33.1,High school graduate,"(64.84507995700051, -147.72205903599973)",High school graduate,EDU,EDUHSGRAD
2013,2013,AK,Alaska,21.2,College graduate,"(64.84507995700051, -147.72205903599973)",College graduate,EDU,EDUCOGRAD
2014,2014,AK,Alaska,34,Some college or technical school,"(64.84507995700051, -147.72205903599973)",Some college or technical school,EDU,EDUCOTEC
2014,2014,AK,Alaska,32.8,Less than high school,"(64.84507995700051, -147.72205903599973)",Less than high school,EDU,EDUHS
2014,2014,AK,Alaska,28.3,High school graduate,"(64.84507995700051, -147.72205903599973)",High school graduate,EDU,EDUHSGRAD
2014,2014,AK,Alaska,23.4,College graduate,"(64.84507995700051, -147.72205903599973)",College graduate,EDU,EDUCOGRAD
2015,2015,AK,Alaska,33,Some college or technical school,"(64.84507995700051, -147.72205903599973)",Some college or technical school,EDU,EDUCOTEC
2015,2015,AK,Alaska,30.2,Less than high school,"(64.84507995700051, -147.72205903599973)",Less than high school,EDU,EDUHS
2015,2015,AK,Alaska,28.4,High school graduate,"(64.84507995700051, -147.72205903599973)",High school graduate,EDU,EDUHSGRAD
2015,2015,AK,Alaska,26.7,College graduate,"(64.84507995700051, -147.72205903599973)",College graduate,EDU,EDUCOGRAD
2011,2011,AZ,Arizona,25.9,Some college or technical school,"(34.865970280000454, -111.76381127699972)",Some college or technical school,EDU,EDUCOTEC
2011,2011,AZ,Arizona,36.2,Less than high school,"(34.865970280000454, -111.76381127699972)",Less than high school,EDU,EDUHS
2011,2011,AZ,Arizona,25.2,High school graduate,"(34.865970280000454, -111.76381127699972)",High school graduate,EDU,EDUHSGRAD
2011,2011,AZ,Arizona,17.4,College graduate,"(34.865970280000454, -111.76381127699972)",College graduate,EDU,EDUCOGRAD
2012,2012,AZ,Arizona,25.3,Some college or technical school,"(34.865970280000454, -111.76381127699972)",Some college or technical school,EDU,EDUCOTEC
2012,2012,AZ,Arizona,32.3,Less than high school,"(34.865970280000454, -111.76381127699972)",Less than high school,EDU,EDUHS
2012,2012,AZ,Arizona,26.9,High school graduate,"(34.865970280000454, -111.76381127699972)",High school graduate,EDU,EDUHSGRAD
2012,2012,AZ,Arizona,22.3,College graduate,"(34.865970280000454, -111.76381127699972)",College graduate,EDU,EDUCOGRAD
2013,2013,AZ,Arizona,24.9,Some college or technical school,"(34.865970280000454, -111.76381127699972)",Some college or technical school,EDU,EDUCOTEC
