Favourite,State,StateAbbv,Exercise,Good,Obese,Overweight,PovertyRate,mfr,Serve,Type,% from sugar,%calories from fat,calories,carbo,cups,fat,fiber,potass,protein,rating,shelf,sodium,sugars,vitamins,weight,
All Bran,Indiana,IN,75.8,36.8,27.4,35.8,15.6,Kellogg,C,Health,28.57142857,12.85714286,70,7,0.33,1,9,320,4,59.425505,3,260,5,25,1,
Ancient Grains Cheerios,Georgia,GA,75.3,35,28.7,36.3,17.5,General Mills,C,Regular,18.18181818,16.36363636,110,22,0.3,2,2,90,3,38.5,2,105,5,25,28,
Ancient Grains Cheerios,New Jersey,NJ,73.9,37.7,24.1,38.2,9.8,General Mills,C,Regular,18.18181818,16.36363636,110,22,0.3,2,2,90,3,38.5,2,105,5,25,28,
Ancient Grains Cheerios,Ohio,OH,75.7,36.5,28.1,35.4,14.1,General Mills,C,Regular,18.18181818,16.36363636,110,22,0.3,2,2,90,3,38.5,2,105,5,25,28,
Ancient Grains Cheerios,Wyoming,WY,78.3,37.8,24.5,37.7,9.6,General Mills,C,Regular,18.18181818,16.36363636,110,22,0.3,2,2,90,3,38.5,2,105,5,25,28,
Captain Crunch,Nebraska,NE,77.8,35.3,26.5,38.2,10.2,Quaker,C,Kids,40,15,120,12,0.75,2,0,35,1,18.042851,2,220,12,25,1,
Cascade Farms,Nevada,NV,75.6,37,24.6,38.4,13.4,,,,,,,,,,,,,,,,,,,
Cheerios,Tennessee,TN,68.5,32.6,30.7,36.7,16.1,General Mills,C,Kids,3.636363636,16.36363636,110,17,1.25,2,2,105,6,50.764999,1,290,1,25,1,
Cinnamon Toast Crunch,Colorado,CO,82.7,44.4,19.3,36.4,11.9,General Mills,C,Kids,30,22.5,120,13,0.75,3,0,45,1,19.823573,2,210,9,25,1,
Cinnamon Toast Crunch,Connecticut,CT,80.3,40.8,21.7,37.5,8.3,General Mills,C,Kids,30,22.5,120,13,0.75,3,0,45,1,19.823573,2,210,9,25,1,
Cinnamon Toast Crunch,Minnesota,MN,83.3,38,26,36,10.5,General Mills,C,Kids,30,22.5,120,13,0.75,3,0,45,1,19.823573,2,210,9,25,1,
Cocoa Crispies,Louisiana,LA,70,34.8,30.7,34.5,18,Kellogg,C,Kids,39.66942149,5.950413223,121,27,0.8,1,0.4,61,1,,2,131,12,25,31,
Cocoa Crispies,South Dakota,SD,77.4,34.5,27.2,38.3,13.5,Kellogg,C,Kids,39.66942149,5.950413223,121,27,0.8,1,0.4,61,1,,2,131,12,25,31,
Count Chocula,West Virginia,WV,71.8,32,30.3,37.7,15.7,General Mills,C,Kids,36,18,100,23,0.75,2,1,55,1,22.396513,2,130,9,25,27,
Fiber One,Kentucky,KY,69.7,30.9,28.7,40.4,17.3,General Mills,C,Health,0,15,60,25,1.5,1,14.2,180,2,41.50354,2,105,0,13,30,
Fiber One,Maryland,MD,77,37.3,26.3,36.4,9.7,General Mills,C,Health,0,15,60,25,1.5,1,14.2,180,2,41.50354,2,105,0,13,30,
Fiber One,North Carolina,NC,75.7,35.4,28.7,35.9,16.1,General Mills,C,Health,0,15,60,25,1.5,1,14.2,180,2,41.50354,2,105,0,13,30,
