YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,Gender,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AL,Alabama,32.3,,Male,"(32.84057112200048, -86.63186076199969)",Male,GEN,MALE
2011,2011,AL,Alabama,31.8,,Female,"(32.84057112200048, -86.63186076199969)",Female,GEN,FEMALE
2012,2012,AL,Alabama,31.8,,Male,"(32.84057112200048, -86.63186076199969)",Male,GEN,MALE
2012,2012,AL,Alabama,34.1,,Female,"(32.84057112200048, -86.63186076199969)",Female,GEN,FEMALE
2013,2013,AL,Alabama,30.9,,Male,"(32.84057112200048, -86.63186076199969)",Male,GEN,MALE
2013,2013,AL,Alabama,34,,Female,"(32.84057112200048, -86.63186076199969)",Female,GEN,FEMALE
2014,2014,AL,Alabama,34.1,,Male,"(32.84057112200048, -86.63186076199969)",Male,GEN,MALE
2014,2014,AL,Alabama,32.9,,Female,"(32.84057112200048, -86.63186076199969)",Female,GEN,FEMALE
2015,2015,AL,Alabama,34.9,,Male,"(32.84057112200048, -86.63186076199969)",Male,GEN,MALE
2015,2015,AL,Alabama,36.4,,Female,"(32.84057112200048, -86.63186076199969)",Female,GEN,FEMALE
2011,2011,AK,Alaska,28,,Male,"(64.84507995700051, -147.72205903599973)",Male,GEN,MALE
2011,2011,AK,Alaska,26.7,,Female,"(64.84507995700051, -147.72205903599973)",Female,GEN,FEMALE
2012,2012,AK,Alaska,25.9,,Male,"(64.84507995700051, -147.72205903599973)",Male,GEN,MALE
2012,2012,AK,Alaska,25.4,,Female,"(64.84507995700051, -147.72205903599973)",Female,GEN,FEMALE
2013,2013,AK,Alaska,29.2,,Male,"(64.84507995700051, -147.72205903599973)",Male,GEN,MALE
2013,2013,AK,Alaska,27.5,,Female,"(64.84507995700051, -147.72205903599973)",Female,GEN,FEMALE
2014,2014,AK,Alaska,29.3,,Male,"(64.84507995700051, -147.72205903599973)",Male,GEN,MALE
2014,2014,AK,Alaska,30.2,,Female,"(64.84507995700051, -147.72205903599973)",Female,GEN,FEMALE
2015,2015,AK,Alaska,29.3,,Male,"(64.84507995700051, -147.72205903599973)",Male,GEN,MALE
2015,2015,AK,Alaska,30.5,,Female,"(64.84507995700051, -147.72205903599973)",Female,GEN,FEMALE
2011,2011,AZ,Arizona,24.4,,Male,"(34.865970280000454, -111.76381127699972)",Male,GEN,MALE
2011,2011,AZ,Arizona,25.8,,Female,"(34.865970280000454, -111.76381127699972)",Female,GEN,FEMALE
2012,2012,AZ,Arizona,26.4,,Male,"(34.865970280000454, -111.76381127699972)",Male,GEN,MALE
2012,2012,AZ,Arizona,25.6,,Female,"(34.865970280000454, -111.76381127699972)",Female,GEN,FEMALE
2013,2013,AZ,Arizona,26.5,,Male,"(34.865970280000454, -111.76381127699972)",Male,GEN,MALE
2013,2013,AZ,Arizona,27.1,,Female,"(34.865970280000454, -111.76381127699972)",Female,GEN,FEMALE
2014,2014,AZ,Arizona,29.1,,Male,"(34.865970280000454, -111.76381127699972)",Male,GEN,MALE
2014,2014,AZ,Arizona,28.8,,Female,"(34.865970280000454, -111.76381127699972)",Female,GEN,FEMALE
2015,2015,AZ,Arizona,29.6,,Male,"(34.865970280000454, -111.76381127699972)",Male,GEN,MALE
2015,2015,AZ,Arizona,27.1,,Female,"(34.865970280000454, -111.76381127699972)",Female,GEN,FEMALE
2011,2011,AR,Arkansas,30.7,,Male,"(34.74865012400045, -92.27449074299966)",Male,GEN,MALE
2011,2011,AR,Arkansas,31.2,,Female,"(34.74865012400045, -92.27449074299966)",Female,GEN,FEMALE
2012,2012,AR,Arkansas,34,,Male,"(34.74865012400045, -92.27449074299966)",Male,GEN,MALE
2012,2012,AR,Arkansas,35.1,,Female,"(34.74865012400045, -92.27449074299966)",Female,GEN,FEMALE
2013,2013,AR,Arkansas,35.2,,Male,"(34.74865012400045, -92.27449074299966)",Male,GEN,MALE
2013,2013,AR,Arkansas,34.1,,Female,"(34.74865012400045, -92.27449074299966)",Female,GEN,FEMALE
2014,2014,AR,Arkansas,35.8,,Male,"(34.74865012400045, -92.27449074299966)",Male,GEN,MALE
2014,2014,AR,Arkansas,36,,Female,"(34.74865012400045, -92.27449074299966)",Female,GEN,FEMALE
2015,2015,AR,Arkansas,35.1,,Male,"(34.74865012400045, -92.27449074299966)",Male,GEN,MALE
2015,2015,AR,Arkansas,33.9,,Female,"(34.74865012400045, -92.27449074299966)",Female,GEN,FEMALE
2011,2011,CA,California,23.1,,Male,"(37.63864012300047, -120.99999953799971)",Male,GEN,MALE
2011,2011,CA,California,24.5,,Female,"(37.63864012300047, -120.99999953799971)",Female,GEN,FEMALE
2012,2012,CA,California,26.2,,Male,"(37.63864012300047, -120.99999953799971)",Male,GEN,MALE
2012,2012,CA,California,23.8,,Female,"(37.63864012300047, -120.99999953799971)",Female,GEN,FEMALE
2013,2013,CA,California,25.1,,Male,"(37.63864012300047, -120.99999953799971)",Male,GEN,MALE
2013,2013,CA,California,23.1,,Female,"(37.63864012300047, -120.99999953799971)",Female,GEN,FEMALE
2014,2014,CA,California,24,,Male,"(37.63864012300047, -120.99999953799971)",Male,GEN,MALE
2014,2014,CA,California,25.4,,Female,"(37.63864012300047, -120.99999953799971)",Female,GEN,FEMALE
2015,2015,CA,California,24.6,,Male,"(37.63864012300047, -120.99999953799971)",Male,GEN,MALE
2015,2015,CA,California,23.7,,Female,"(37.63864012300047, -120.99999953799971)",Female,GEN,FEMALE
2011,2011,CO,Colorado,21.1,,Male,"(38.843840757000464, -106.13361092099967)",Male,GEN,MALE
2011,2011,CO,Colorado,20.3,,Female,"(38.843840757000464, -106.13361092099967)",Female,GEN,FEMALE
2012,2012,CO,Colorado,21.1,,Male,"(38.843840757000464, -106.13361092099967)",Male,GEN,MALE
2012,2012,CO,Colorado,19.8,,Female,"(38.843840757000464, -106.13361092099967)",Female,GEN,FEMALE
2013,2013,CO,Colorado,20.8,,Male,"(38.843840757000464, -106.13361092099967)",Male,GEN,MALE
