YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Income,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AL,Alabama,38.5,"Less than $15,000","(32.84057112200048, -86.63186076199969)","Less than $15,000",INC,INCLESS15
2011,2011,AL,Alabama,34.8,"$15,000 - $24,999","(32.84057112200048, -86.63186076199969)","$15,000 - $24,999",INC,INC1525
2011,2011,AL,Alabama,35.8,"$25,000 - $34,999","(32.84057112200048, -86.63186076199969)","$25,000 - $34,999",INC,INC2535
2011,2011,AL,Alabama,32.3,"$35,000 - $49,999","(32.84057112200048, -86.63186076199969)","$35,000 - $49,999",INC,INC3550
2011,2011,AL,Alabama,34.1,"$50,000 - $74,999","(32.84057112200048, -86.63186076199969)","$50,000 - $74,999",INC,INC5075
2011,2011,AL,Alabama,28.8,"$75,000 or greater","(32.84057112200048, -86.63186076199969)","$75,000 or greater",INC,INC75PLUS
2011,2011,AL,Alabama,23.8,Data not reported,"(32.84057112200048, -86.63186076199969)",Data not reported,INC,INCNR
2012,2012,AL,Alabama,40.8,"Less than $15,000","(32.84057112200048, -86.63186076199969)","Less than $15,000",INC,INCLESS15
2012,2012,AL,Alabama,35.2,"$15,000 - $24,999","(32.84057112200048, -86.63186076199969)","$15,000 - $24,999",INC,INC1525
2012,2012,AL,Alabama,29,"$25,000 - $34,999","(32.84057112200048, -86.63186076199969)","$25,000 - $34,999",INC,INC2535
2012,2012,AL,Alabama,34.5,"$35,000 - $49,999","(32.84057112200048, -86.63186076199969)","$35,000 - $49,999",INC,INC3550
2012,2012,AL,Alabama,34.5,"$50,000 - $74,999","(32.84057112200048, -86.63186076199969)","$50,000 - $74,999",INC,INC5075
2012,2012,AL,Alabama,28.9,"$75,000 or greater","(32.84057112200048, -86.63186076199969)","$75,000 or greater",INC,INC75PLUS
2012,2012,AL,Alabama,28.4,Data not reported,"(32.84057112200048, -86.63186076199969)",Data not reported,INC,INCNR
