YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Race/Ethnicity,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AL,Alabama,29.8,Non-Hispanic White,"(32.84057112200048, -86.63186076199969)",Non-Hispanic White,RACE,RACEWHT
2011,2011,AL,Alabama,40.1,Non-Hispanic Black,"(32.84057112200048, -86.63186076199969)",Non-Hispanic Black,RACE,RACEBLK
2011,2011,AL,Alabama,28.6,Hispanic,"(32.84057112200048, -86.63186076199969)",Hispanic,RACE,RACEHIS
2011,2011,AL,Alabama,,Asian,"(32.84057112200048, -86.63186076199969)",Asian,RACE,RACEASN
2011,2011,AL,Alabama,,Hawaiian/Pacific Islander,"(32.84057112200048, -86.63186076199969)",Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,AL,Alabama,32.9,American Indian/Alaska Native,"(32.84057112200048, -86.63186076199969)",American Indian/Alaska Native,RACE,RACENAA
2011,2011,AL,Alabama,27.8,2 or more races,"(32.84057112200048, -86.63186076199969)",2 or more races,RACE,RACE2PLUS
2011,2011,AL,Alabama,,Other,"(32.84057112200048, -86.63186076199969)",Other,RACE,RACEOTH
2012,2012,AL,Alabama,30.1,Non-Hispanic White,"(32.84057112200048, -86.63186076199969)",Non-Hispanic White,RACE,RACEWHT
2012,2012,AL,Alabama,44.1,Non-Hispanic Black,"(32.84057112200048, -86.63186076199969)",Non-Hispanic Black,RACE,RACEBLK
2012,2012,AL,Alabama,24.1,Hispanic,"(32.84057112200048, -86.63186076199969)",Hispanic,RACE,RACEHIS
2012,2012,AL,Alabama,,Asian,"(32.84057112200048, -86.63186076199969)",Asian,RACE,RACEASN
2012,2012,AL,Alabama,,Hawaiian/Pacific Islander,"(32.84057112200048, -86.63186076199969)",Hawaiian/Pacific Islander,RACE,RACEHPI
2012,2012,AL,Alabama,26.5,American Indian/Alaska Native,"(32.84057112200048, -86.63186076199969)",American Indian/Alaska Native,RACE,RACENAA
2012,2012,AL,Alabama,18.5,2 or more races,"(32.84057112200048, -86.63186076199969)",2 or more races,RACE,RACE2PLUS
2012,2012,AL,Alabama,24.4,Other,"(32.84057112200048, -86.63186076199969)",Other,RACE,RACEOTH
2013,2013,AL,Alabama,29.6,Non-Hispanic White,"(32.84057112200048, -86.63186076199969)",Non-Hispanic White,RACE,RACEWHT
2013,2013,AL,Alabama,41.3,Non-Hispanic Black,"(32.84057112200048, -86.63186076199969)",Non-Hispanic Black,RACE,RACEBLK
2013,2013,AL,Alabama,28.2,Hispanic,"(32.84057112200048, -86.63186076199969)",Hispanic,RACE,RACEHIS
2013,2013,AL,Alabama,,Asian,"(32.84057112200048, -86.63186076199969)",Asian,RACE,RACEASN
2013,2013,AL,Alabama,,Hawaiian/Pacific Islander,"(32.84057112200048, -86.63186076199969)",Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,AL,Alabama,46.2,American Indian/Alaska Native,"(32.84057112200048, -86.63186076199969)",American Indian/Alaska Native,RACE,RACENAA
2013,2013,AL,Alabama,,2 or more races,"(32.84057112200048, -86.63186076199969)",2 or more races,RACE,RACE2PLUS
2013,2013,AL,Alabama,,Other,"(32.84057112200048, -86.63186076199969)",Other,RACE,RACEOTH
2014,2014,AL,Alabama,31.4,Non-Hispanic White,"(32.84057112200048, -86.63186076199969)",Non-Hispanic White,RACE,RACEWHT
2014,2014,AL,Alabama,41.9,Non-Hispanic Black,"(32.84057112200048, -86.63186076199969)",Non-Hispanic Black,RACE,RACEBLK
2014,2014,AL,Alabama,22.9,Hispanic,"(32.84057112200048, -86.63186076199969)",Hispanic,RACE,RACEHIS
2014,2014,AL,Alabama,,Asian,"(32.84057112200048, -86.63186076199969)",Asian,RACE,RACEASN
2014,2014,AL,Alabama,,Hawaiian/Pacific Islander,"(32.84057112200048, -86.63186076199969)",Hawaiian/Pacific Islander,RACE,RACEHPI
2014,2014,AL,Alabama,35.2,American Indian/Alaska Native,"(32.84057112200048, -86.63186076199969)",American Indian/Alaska Native,RACE,RACENAA
2014,2014,AL,Alabama,39.3,2 or more races,"(32.84057112200048, -86.63186076199969)",2 or more races,RACE,RACE2PLUS
2014,2014,AL,Alabama,,Other,"(32.84057112200048, -86.63186076199969)",Other,RACE,RACEOTH
2015,2015,AL,Alabama,,Asian,"(32.84057112200048, -86.63186076199969)",Asian,RACE,RACEASN
2015,2015,AL,Alabama,,Hawaiian/Pacific Islander,"(32.84057112200048, -86.63186076199969)",Hawaiian/Pacific Islander,RACE,RACEHPI
2015,2015,AL,Alabama,,Other,"(32.84057112200048, -86.63186076199969)",Other,RACE,RACEOTH
2015,2015,AL,Alabama,31.4,Hispanic,"(32.84057112200048, -86.63186076199969)",Hispanic,RACE,RACEHIS
